Disease,Medicine_Name,Category,Purpose,Dosage,Side_Effects
Fungal infection,Remdesivir,Antiviral,Treats viral infections,250mg twice daily,"Fatigue, Vomiting"
Allergy,Ibuprofen,Painkiller,Reduces pain and fever,500mg once daily,"Constipation, Rash"
GERD,Dolo-650,Painkiller,Reduces pain and fever,500mg thrice daily,"Fatigue, Headache"
Chronic cholestasis,Esomeprazole,Antacid,Reduces stomach acid and heartburn,100mg twice daily,"Fatigue, Headache"
Drug Reaction,Favipiravir,Antiviral,Treats viral infections,500mg thrice daily,"Headache, Fatigue"
Peptic ulcer diseae,Esomeprazole,Antacid,Reduces stomach acid and heartburn,100mg twice daily,"Nausea, Dizziness"
AIDS,Vitamin D,Vitamin,Improves nutritional health,500mg once daily,"Fatigue, Headache"
Diabetes ,Hydrocortisone,Steroid,Reduces inflammation and immune response,250mg twice daily,"Nausea, Loss of appetite"
Gastroenteritis,Cetirizine,Antihistamine,Relieves allergy symptoms,250mg once daily,"Headache, Nausea"
Bronchial Asthma,Dexamethasone,Steroid,Reduces inflammation and immune response,250mg once daily,"Loss of appetite, Nausea"
Hypertension ,Clotrimazole,Antifungal,Treats fungal infections,100mg thrice daily,"Nausea, Rash"
Migraine,Clotrimazole,Antifungal,Treats fungal infections,100mg once daily,"Loss of appetite, Rash"
Cervical spondylosis,Atenolol,Cardiac,Manages blood pressure and heart conditions,100mg once daily,"Dizziness, Drowsiness"
Paralysis (brain hemorrhage),Amoxicillin,Antibiotic,Treats bacterial infections,250mg twice daily,"Headache, Nausea"
Jaundice,Amoxicillin,Antibiotic,Treats bacterial infections,250mg once daily,"Diarrhea, Drowsiness"
Malaria,Folic Acid,Vitamin,Improves nutritional health,500mg twice daily,"Constipation, Nausea"
Chicken pox,Metformin,Antidiabetic,Controls blood sugar levels,100mg thrice daily,"Diarrhea, Nausea"
Dengue,Ketoconazole,Antifungal,Treats fungal infections,250mg thrice daily,"Drowsiness, Diarrhea"
Typhoid,Vitamin C,Vitamin,Improves nutritional health,250mg thrice daily,"Fatigue, Vomiting"
hepatitis A,Sitagliptin,Antidiabetic,Controls blood sugar levels,100mg twice daily,"Diarrhea, Fatigue"
Hepatitis B,Hydrocortisone,Steroid,Reduces inflammation and immune response,250mg twice daily,"Vomiting, Nausea"
Hepatitis C,Vitamin D,Vitamin,Improves nutritional health,100mg once daily,"Rash, Loss of appetite"
Hepatitis D,Multivitamin,Vitamin,Improves nutritional health,250mg once daily,"Rash, Vomiting"
Hepatitis E,Remdesivir,Antiviral,Treats viral infections,250mg thrice daily,"Vomiting, Headache"
Alcoholic hepatitis,Folic Acid,Vitamin,Improves nutritional health,500mg thrice daily,"Drowsiness, Constipation"
Tuberculosis,Esomeprazole,Antacid,Reduces stomach acid and heartburn,250mg thrice daily,"Dizziness, Rash"
Common Cold,Diphenhydramine,Antihistamine,Relieves allergy symptoms,500mg once daily,"Loss of appetite, Fatigue"
Pneumonia,Oseltamivir,Antiviral,Treats viral infections,100mg twice daily,"Rash, Diarrhea"
Dimorphic hemmorhoids(piles),Insulin,Antidiabetic,Controls blood sugar levels,100mg once daily,"Rash, Dizziness"
Heart attack,Multivitamin,Vitamin,Improves nutritional health,250mg once daily,"Headache, Dizziness"
Varicose veins,Pantoprazole,Antacid,Reduces stomach acid and heartburn,100mg twice daily,"Loss of appetite, Constipation"
Hypothyroidism,Aspirin,Painkiller,Reduces pain and fever,100mg once daily,"Dizziness, Fatigue"
Hyperthyroidism,Ranitidine,Antacid,Reduces stomach acid and heartburn,250mg once daily,"Constipation, Headache"
Hypoglycemia,Itraconazole,Antifungal,Treats fungal infections,100mg once daily,"Rash, Vomiting"
Osteoarthristis,Fluconazole,Antifungal,Treats fungal infections,500mg once daily,"Constipation, Vomiting"
Arthritis,Diphenhydramine,Antihistamine,Relieves allergy symptoms,100mg once daily,"Headache, Dizziness"
(vertigo) Paroymsal  Positional Vertigo,Dolo-650,Painkiller,Reduces pain and fever,500mg thrice daily,"Constipation, Vomiting"
Acne,Cetirizine,Antihistamine,Relieves allergy symptoms,250mg thrice daily,"Rash, Nausea"
Urinary tract infection,Loratadine,Antihistamine,Relieves allergy symptoms,100mg thrice daily,"Nausea, Dizziness"
Psoriasis,Itraconazole,Antifungal,Treats fungal infections,250mg once daily,"Fatigue, Vomiting"
Impetigo,Dexamethasone,Steroid,Reduces inflammation and immune response,250mg twice daily,"Rash, Fatigue"
Disease_0,Loratadine,Antihistamine,Relieves allergy symptoms,100mg once daily,"Loss of appetite, Vomiting"
Disease_1,Aspirin,Painkiller,Reduces pain and fever,100mg once daily,"Fatigue, Rash"
Disease_2,Losartan,Cardiac,Manages blood pressure and heart conditions,100mg once daily,"Rash, Drowsiness"
Disease_3,Dolo-650,Painkiller,Reduces pain and fever,250mg thrice daily,"Headache, Loss of appetite"
Disease_4,Amoxicillin,Antibiotic,Treats bacterial infections,500mg twice daily,"Loss of appetite, Dizziness"
Disease_5,Sitagliptin,Antidiabetic,Controls blood sugar levels,500mg once daily,"Diarrhea, Constipation"
Disease_6,Pantoprazole,Antacid,Reduces stomach acid and heartburn,100mg twice daily,"Dizziness, Vomiting"
Disease_7,Ranitidine,Antacid,Reduces stomach acid and heartburn,500mg thrice daily,"Rash, Headache"
Disease_8,Favipiravir,Antiviral,Treats viral infections,250mg twice daily,"Diarrhea, Dizziness"
Disease_9,Azithromycin,Antibiotic,Treats bacterial infections,500mg twice daily,"Nausea, Drowsiness"
Disease_10,Hydrocortisone,Steroid,Reduces inflammation and immune response,500mg thrice daily,"Vomiting, Headache"
Disease_11,Sitagliptin,Antidiabetic,Controls blood sugar levels,500mg once daily,"Headache, Dizziness"
Disease_12,Vitamin D,Vitamin,Improves nutritional health,100mg thrice daily,"Fatigue, Vomiting"
Disease_13,Metoprolol,Cardiac,Manages blood pressure and heart conditions,500mg once daily,"Headache, Drowsiness"
Disease_14,Doxycycline,Antibiotic,Treats bacterial infections,500mg once daily,"Constipation, Dizziness"
Disease_15,Atenolol,Cardiac,Manages blood pressure and heart conditions,100mg twice daily,"Rash, Fatigue"
Disease_16,Amoxicillin,Antibiotic,Treats bacterial infections,100mg twice daily,"Nausea, Vomiting"
Disease_17,Metoprolol,Cardiac,Manages blood pressure and heart conditions,250mg thrice daily,"Drowsiness, Loss of appetite"
Disease_18,Cetirizine,Antihistamine,Relieves allergy symptoms,500mg twice daily,"Nausea, Constipation"
Disease_19,Diphenhydramine,Antihistamine,Relieves allergy symptoms,100mg twice daily,"Vomiting, Drowsiness"
Disease_20,Acyclovir,Antiviral,Treats viral infections,250mg thrice daily,"Constipation, Vomiting"
Disease_21,Ketoconazole,Antifungal,Treats fungal infections,250mg thrice daily,"Constipation, Dizziness"
Disease_22,Metformin,Antidiabetic,Controls blood sugar levels,250mg twice daily,"Rash, Headache"
Disease_23,Betamethasone,Steroid,Reduces inflammation and immune response,100mg once daily,"Dizziness, Diarrhea"
Disease_24,Remdesivir,Antiviral,Treats viral infections,500mg twice daily,"Nausea, Fatigue"
Disease_25,Paracetamol,Painkiller,Reduces pain and fever,250mg twice daily,"Diarrhea, Drowsiness"
Disease_26,Betamethasone,Steroid,Reduces inflammation and immune response,100mg twice daily,"Dizziness, Constipation"
Disease_27,Atenolol,Cardiac,Manages blood pressure and heart conditions,100mg twice daily,"Constipation, Dizziness"
Disease_28,Ibuprofen,Painkiller,Reduces pain and fever,500mg once daily,"Headache, Nausea"
Disease_29,Losartan,Cardiac,Manages blood pressure and heart conditions,500mg twice daily,"Constipation, Drowsiness"
Disease_30,Hydrocortisone,Steroid,Reduces inflammation and immune response,250mg once daily,"Loss of appetite, Rash"
Disease_31,Betamethasone,Steroid,Reduces inflammation and immune response,100mg once daily,"Rash, Diarrhea"
Disease_32,Amoxicillin,Antibiotic,Treats bacterial infections,100mg once daily,"Loss of appetite, Diarrhea"
Disease_33,Itraconazole,Antifungal,Treats fungal infections,500mg once daily,"Fatigue, Diarrhea"
Disease_34,Fluconazole,Antifungal,Treats fungal infections,500mg thrice daily,"Dizziness, Drowsiness"
Disease_35,Folic Acid,Vitamin,Improves nutritional health,250mg once daily,"Headache, Vomiting"
Disease_36,Itraconazole,Antifungal,Treats fungal infections,500mg once daily,"Vomiting, Rash"
Disease_37,Insulin,Antidiabetic,Controls blood sugar levels,250mg once daily,"Loss of appetite, Drowsiness"
Disease_38,Amoxicillin,Antibiotic,Treats bacterial infections,250mg thrice daily,"Drowsiness, Dizziness"
Disease_39,Atenolol,Cardiac,Manages blood pressure and heart conditions,100mg thrice daily,"Rash, Loss of appetite"
Disease_40,Atenolol,Cardiac,Manages blood pressure and heart conditions,250mg once daily,"Fatigue, Constipation"
Disease_41,Fexofenadine,Antihistamine,Relieves allergy symptoms,250mg once daily,"Drowsiness, Nausea"
Disease_42,Diphenhydramine,Antihistamine,Relieves allergy symptoms,250mg twice daily,"Dizziness, Loss of appetite"
Disease_43,Azithromycin,Antibiotic,Treats bacterial infections,250mg thrice daily,"Fatigue, Headache"
Disease_44,Amoxicillin,Antibiotic,Treats bacterial infections,100mg thrice daily,"Vomiting, Loss of appetite"
Disease_45,Omeprazole,Antacid,Reduces stomach acid and heartburn,250mg once daily,"Drowsiness, Diarrhea"
Disease_46,Ketoconazole,Antifungal,Treats fungal infections,500mg once daily,"Constipation, Headache"
Disease_47,Diphenhydramine,Antihistamine,Relieves allergy symptoms,100mg once daily,"Diarrhea, Headache"
Disease_48,Vitamin D,Vitamin,Improves nutritional health,250mg once daily,"Fatigue, Drowsiness"
Disease_49,Fexofenadine,Antihistamine,Relieves allergy symptoms,100mg twice daily,"Diarrhea, Fatigue"
Disease_50,Metoprolol,Cardiac,Manages blood pressure and heart conditions,500mg once daily,"Fatigue, Loss of appetite"
Disease_51,Atenolol,Cardiac,Manages blood pressure and heart conditions,100mg once daily,"Rash, Headache"
Disease_52,Clotrimazole,Antifungal,Treats fungal infections,500mg twice daily,"Loss of appetite, Rash"
Disease_53,Multivitamin,Vitamin,Improves nutritional health,100mg once daily,"Drowsiness, Rash"
Disease_54,Metoprolol,Cardiac,Manages blood pressure and heart conditions,250mg once daily,"Vomiting, Fatigue"
Disease_55,Ranitidine,Antacid,Reduces stomach acid and heartburn,250mg once daily,"Diarrhea, Rash"
Disease_56,Metoprolol,Cardiac,Manages blood pressure and heart conditions,100mg twice daily,"Drowsiness, Headache"
Disease_57,Acyclovir,Antiviral,Treats viral infections,500mg once daily,"Loss of appetite, Nausea"
Disease_58,Hydrocortisone,Steroid,Reduces inflammation and immune response,250mg twice daily,"Constipation, Fatigue"
